date,product,expiry,tenor,leg,value
2026-06-30 00:00:00,swap_par,,1Y,,4.01634
2026-06-30 00:00:00,swap_par,,20Y,,4.20742
2026-06-30 00:00:00,swap_par,,25Y,,4.20032
2026-06-30 00:00:00,swap_par,,2Y,,3.99409
2026-06-30 00:00:00,swap_par,,30Y,,4.16097
2026-06-30 00:00:00,swap_par,,3Y,,3.93499
2026-06-30 00:00:00,swap_par,,40Y,,4.03659
2026-06-30 00:00:00,swap_par,,4Y,,3.90048
2026-06-30 00:00:00,swap_par,,5Y,,3.89091
2026-06-30 00:00:00,swap_par,,6M,,3.86807
2026-06-30 00:00:00,swap_par,,6Y,,3.90021
2026-06-30 00:00:00,swap_par,,7Y,,3.91812
2026-06-30 00:00:00,swap_par,,8Y,,3.94193
2026-06-30 00:00:00,swap_par,,9Y,,3.96891
2026-07-01 00:00:00,swap_par,,10Y,,4.05377
2026-07-01 00:00:00,swap_par,,12Y,,4.11657
2026-07-01 00:00:00,swap_par,,15Y,,4.19808
2026-07-01 00:00:00,swap_par,,1Y,,4.0211
2026-07-01 00:00:00,swap_par,,20Y,,4.267
2026-07-01 00:00:00,swap_par,,25Y,,4.2604
2026-07-01 00:00:00,swap_par,,2Y,,4.02139
2026-07-01 00:00:00,swap_par,,30Y,,4.22116
2026-07-01 00:00:00,swap_par,,3Y,,3.97158
2026-07-01 00:00:00,swap_par,,40Y,,4.09694
2026-07-01 00:00:00,swap_par,,4Y,,3.94306
2026-07-01 00:00:00,swap_par,,5Y,,3.94
2026-07-01 00:00:00,swap_par,,6M,,3.8589
2026-07-01 00:00:00,swap_par,,6Y,,3.95268
2026-07-01 00:00:00,swap_par,,7Y,,3.97216
2026-07-01 00:00:00,swap_par,,8Y,,3.99681
2026-07-01 00:00:00,swap_par,,9Y,,4.02467
2026-07-02 00:00:00,swap_par,,10Y,,4.05264
2026-07-02 00:00:00,swap_par,,12Y,,4.11723
2026-07-02 00:00:00,swap_par,,15Y,,4.20216
2026-07-02 00:00:00,swap_par,,1Y,,3.97646
2026-07-02 00:00:00,swap_par,,20Y,,4.27387
2026-07-02 00:00:00,swap_par,,25Y,,4.26904
2026-07-02 00:00:00,swap_par,,2Y,,3.98419
2026-07-02 00:00:00,swap_par,,30Y,,4.2311
2026-07-02 00:00:00,swap_par,,3Y,,3.94719
2026-07-02 00:00:00,swap_par,,40Y,,4.10745
2026-07-02 00:00:00,swap_par,,4Y,,3.92743
2026-07-02 00:00:00,swap_par,,5Y,,3.93002
2026-07-02 00:00:00,swap_par,,6M,,3.82855
2026-07-02 00:00:00,swap_par,,6Y,,3.94581
2026-07-02 00:00:00,swap_par,,7Y,,3.96751
2026-07-02 00:00:00,swap_par,,8Y,,3.99365
2026-07-02 00:00:00,swap_par,,9Y,,4.02249
2026-07-03 00:00:00,swap_par,,10Y,,4.05273
2026-07-03 00:00:00,swap_par,,12Y,,4.11743
2026-07-03 00:00:00,swap_par,,15Y,,4.20226
2026-07-03 00:00:00,swap_par,,1Y,,3.98418
2026-07-03 00:00:00,swap_par,,20Y,,4.27404
2026-07-03 00:00:00,swap_par,,25Y,,4.26913
2026-07-03 00:00:00,swap_par,,2Y,,3.98443
2026-07-03 00:00:00,swap_par,,30Y,,4.23115
2026-07-03 00:00:00,swap_par,,3Y,,3.94731
2026-07-03 00:00:00,swap_par,,40Y,,4.10747
2026-07-03 00:00:00,swap_par,,4Y,,3.92753
2026-07-03 00:00:00,swap_par,,5Y,,3.93011
2026-07-03 00:00:00,swap_par,,6M,,3.83522
2026-07-03 00:00:00,swap_par,,6Y,,3.94597
2026-07-03 00:00:00,swap_par,,7Y,,3.96768
2026-07-03 00:00:00,swap_par,,8Y,,3.99383
2026-07-03 00:00:00,swap_par,,9Y,,4.02289
2016-01-01 00:00:00,forward_swap,10Y,10Y,,2.68439
