date,name
1997-12-29,Chanukah Day 6
1997-12-30,Chanukah Day 7
1997-12-31,Chanukah Day 8
1998-01-08,Fast of 10 Tevet
1998-02-11,Tu BiShvat
1998-03-11,Fast of Esther
1998-03-12,Purim
1998-03-13,Shushan Purim
1998-04-11,Pesach I
1998-04-12,Pesach II
1998-04-13,Chol HaMoed Pesach
1998-04-14,Chol HaMoed Pesach
1998-04-15,Chol HaMoed Pesach
1998-04-16,Chol HaMoed Pesach
1998-04-17,Pesach VII
1998-04-18,Pesach VIII
1998-04-23,Yom HaShoah
1998-04-29,Yom HaZikaron
1998-04-30,Yom HaAtzmaut
1998-05-14,Lag B'Omer
1998-05-24,Yom Yerushalayim
1998-05-31,Shavuot I
1998-06-01,Shavuot II
1998-07-12,Fast of 17 Tammuz
1998-08-02,Tisha B'Av
1998-08-07,Tu B'Av
1998-09-21,Rosh Hashanah I
1998-09-22,Rosh Hashanah II
1998-09-23,Fast of Gedaliah
1998-09-30,Yom Kippur
1998-10-05,Sukkot I
1998-10-06,Sukkot II
1998-10-07,Chol HaMoed Sukkot
1998-10-08,Chol HaMoed Sukkot
1998-10-09,Chol HaMoed Sukkot
1998-10-10,Chol HaMoed Sukkot
1998-10-11,Hoshana Rabbah
1998-10-12,Shemini Atzeret
1998-10-13,Simchat Torah
1998-12-14,Chanukah Day 1
1998-12-15,Chanukah Day 2
1998-12-16,Chanukah Day 3
1998-12-17,Chanukah Day 4
1998-12-18,Chanukah Day 5
1998-12-19,Chanukah Day 6
1998-12-20,Chanukah Day 7
1998-12-21,Chanukah Day 8
1998-12-29,Fast of 10 Tevet
1999-02-01,Tu BiShvat
1999-03-01,Fast of Esther
1999-03-02,Purim
1999-03-03,Shushan Purim
1999-04-01,Pesach I
1999-04-02,Pesach II
1999-04-03,Chol HaMoed Pesach
1999-04-04,Chol HaMoed Pesach
1999-04-05,Chol HaMoed Pesach
1999-04-06,Chol HaMoed Pesach
1999-04-07,Pesach VII
1999-04-08,Pesach VIII
1999-04-13,Yom HaShoah
1999-04-20,Yom HaZikaron
1999-04-21,Yom HaAtzmaut
1999-05-04,Lag B'Omer
1999-05-14,Yom Yerushalayim
1999-05-21,Shavuot I
1999-05-22,Shavuot II
1999-07-01,Fast of 17 Tammuz
1999-07-22,Tisha B'Av
1999-07-28,Tu B'Av
1999-09-11,Rosh Hashanah I
1999-09-12,Rosh Hashanah II
1999-09-13,Fast of Gedaliah
1999-09-20,Yom Kippur
1999-09-25,Sukkot I
1999-09-26,Sukkot II
1999-09-27,Chol HaMoed Sukkot
1999-09-28,Chol HaMoed Sukkot
1999-09-29,Chol HaMoed Sukkot
1999-09-30,Chol HaMoed Sukkot
1999-10-01,Hoshana Rabbah
1999-10-02,Shemini Atzeret
1999-10-03,Simchat Torah
1999-12-04,Chanukah Day 1
1999-12-05,Chanukah Day 2
1999-12-06,Chanukah Day 3
1999-12-07,Chanukah Day 4
1999-12-08,Chanukah Day 5
1999-12-09,Chanukah Day 6
1999-12-10,Chanukah Day 7
1999-12-11,Chanukah Day 8
1999-12-19,Fast of 10 Tevet
2000-01-22,Tu BiShvat
2000-02-20,Purim Katan
2000-02-21,Shushan Purim Katan
2000-03-20,Fast of Esther
2000-03-21,Purim
2000-03-22,Shushan Purim
2000-04-20,Pesach I
2000-04-21,Pesach II
2000-04-22,Chol HaMoed Pesach
2000-04-23,Chol HaMoed Pesach
2000-04-24,Chol HaMoed Pesach
2000-04-25,Chol HaMoed Pesach
2000-04-26,Pesach VII
2000-04-27,Pesach VIII
2000-05-02,Yom HaShoah
2000-05-09,Yom HaZikaron
2000-05-10,Yom HaAtzmaut
2000-05-23,Lag B'Omer
2000-06-02,Yom Yerushalayim
2000-06-09,Shavuot I
2000-06-10,Shavuot II
2000-07-20,Fast of 17 Tammuz
2000-08-10,Tisha B'Av
2000-08-16,Tu B'Av
2000-09-30,Rosh Hashanah I
2000-10-01,Rosh Hashanah II
2000-10-02,Fast of Gedaliah
2000-10-09,Yom Kippur
2000-10-14,Sukkot I
2000-10-15,Sukkot II
2000-10-16,Chol HaMoed Sukkot
2000-10-17,Chol HaMoed Sukkot
2000-10-18,Chol HaMoed Sukkot
2000-10-19,Chol HaMoed Sukkot
2000-10-20,Hoshana Rabbah
2000-10-21,Shemini Atzeret
2000-10-22,Simchat Torah
2000-12-22,Chanukah Day 1
2000-12-23,Chanukah Day 2
2000-12-24,Chanukah Day 3
2000-12-25,Chanukah Day 4
2000-12-26,Chanukah Day 5
2000-12-27,Chanukah Day 6
2000-12-28,Chanukah Day 7
2000-12-29,Chanukah Day 8
2001-01-05,Fast of 10 Tevet
2001-02-08,Tu BiShvat
2001-03-08,Fast of Esther
2001-03-09,Purim
2001-03-10,Shushan Purim
2001-04-08,Pesach I
2001-04-09,Pesach II
2001-04-10,Chol HaMoed Pesach
2001-04-11,Chol HaMoed Pesach
2001-04-12,Chol HaMoed Pesach
2001-04-13,Chol HaMoed Pesach
2001-04-14,Pesach VII
2001-04-15,Pesach VIII
2001-04-19,Yom HaShoah
2001-04-25,Yom HaZikaron
2001-04-26,Yom HaAtzmaut
2001-05-11,Lag B'Omer
2001-05-21,Yom Yerushalayim
2001-05-28,Shavuot I
2001-05-29,Shavuot II
2001-07-08,Fast of 17 Tammuz
2001-07-29,Tisha B'Av
2001-08-04,Tu B'Av
2001-09-18,Rosh Hashanah I
2001-09-19,Rosh Hashanah II
2001-09-20,Fast of Gedaliah
2001-09-27,Yom Kippur
2001-10-02,Sukkot I
2001-10-03,Sukkot II
2001-10-04,Chol HaMoed Sukkot
2001-10-05,Chol HaMoed Sukkot
2001-10-06,Chol HaMoed Sukkot
2001-10-07,Chol HaMoed Sukkot
2001-10-08,Hoshana Rabbah
2001-10-09,Shemini Atzeret
2001-10-10,Simchat Torah
2001-12-10,Chanukah Day 1
2001-12-11,Chanukah Day 2
2001-12-12,Chanukah Day 3
2001-12-13,Chanukah Day 4
2001-12-14,Chanukah Day 5
2001-12-15,Chanukah Day 6
2001-12-16,Chanukah Day 7
